"","RESP_teg","RESP_gil","RESP_pls","RESP_spi","RESP_ves","LCD_short","LCD_long","RLC_sev","RLC_unv","RLC_mlt","RLC_flx","REP_ovo","REP_fie","REP_cie","REP_fic","REP_frc","REP_vec","REP_tec","REP_ase","BodSz_0.25","BodSz_0.25_0.5","BodSz_0.5_1","BodSz_1_2","BodSz_2_4","BodSz_4_8","BodSz_8_","Feed_Gra","Feed_Min","Feed_Xyl","Feed_Shr","Feed_Gat","Feed_Aff","Feed_Pff","Feed_Pre","Feed_Par"
"III1_2017",0.966948978489769,0.0283281191074378,0.00188916096111728,0.00283374144167592,0,0.558638529322717,0.441361470677283,0.0160552123668336,0.319169052462726,0.664775735170441,0,0.00849750620129922,0.00472201713523878,0.159585411498917,0.20538632190807,0.46316879750567,0.158639945750804,0,0,0,0.00538260378434174,0.246740710444918,0.424458349046832,0.181775528017833,0.141642808706075,0,0.0245520103540893,0.00188916096111728,0,0.0264411713152066,0.683661147908732,0.00519209420663207,0,0.255431559080101,0.0028328561741215
"III2_2017",0.986788089043076,0.013211910956924,0,0,0,0.538072228023907,0.461927771976093,0.00462602734068476,0.413948154572613,0.581425818086703,0,0,0,0.160060022852738,0.243025096711133,0.421437519789645,0.175477360646485,0,0,0,0.00293506243202687,0.249631740525062,0.431352303858809,0.17804760528091,0.138033287903192,0,0.0297340271754842,0,0,0.0275327303514641,0.685391456380181,0.00110064841201008,0,0.254773606464847,0.00146753121601344
"III3_2017",0.974773364526173,0.0252266354738273,0,0,0,0.711274147214147,0.288725852785853,0.0194988216675554,0.48050920590141,0.499991972431035,0,0,0.00305907717360765,0.221715720847023,0.272477479802063,0.254125883749333,0.244037523150935,0,0.00458431527703714,0,0,0.327218045975034,0.480126032832757,0.103974220035665,0.0840973858795062,0.00458431527703714,0.0183487290638134,0,0,0.0183487290638134,0.596329394090563,0.00458431527703714,0,0.362388832504774,0
"IV1_2017",0.735671465247255,0.223113835235292,0.00358213368818635,0.0376325658292673,0,0.759129400379048,0.240870599620952,0.0186361681250588,0.193905668239311,0.78745816363563,0,0.159135449010041,0.0241945239727408,0.0107531217656626,0.135838138634622,0.485484629756576,0.0878160409693939,0.0967780958909633,0,0,0.142281274782585,0.29318319287068,0.313628237697757,0.186388564055002,0.0645187305939756,0,0.239600051077328,0.00931690793983628,0.00358549403873812,0.0084213745177897,0.447494858663656,0.150003024315497,0,0.141578289447155,0
"IV2_2017",0.714440671326899,0.156677986019303,0.0454698107392718,0.0834115319145259,0,0.739854922190252,0.260145077809748,0.0484651188244003,0.36758589602901,0.58394898514659,0,0.0465424130094789,0,0.0460838784192078,0.293852698643118,0.545932665693145,0.0675883442350508,0,0,0.00691258176288116,0.152075358662185,0.324884142249412,0.307215295239247,0.145930361499224,0.062982260587051,0,0.104145244863808,0.0496164957242802,0,0.0112084633042717,0.47588805073835,0.0572952219658806,0,0.232720705774598,0.0691258176288116
"IV3_2017",0.875481039670705,0.103563041867193,0.00285721938980508,0.0180986990722966,0,0.602613462860612,0.397386537139388,0.0199991964070466,0.321350125449789,0.658650678143164,0,0.0595149870085806,0.00190540818057627,0.122226488209506,0.18126854588367,0.414763193061719,0.201750344503275,0.0185710331526737,0,0,0.0639609394299252,0.275713337559637,0.409136703066451,0.132141188305639,0.119047831638347,0,0.0586423445866109,0.0102377742260953,0,0.0165861585578185,0.601514028649577,0.0304749234354492,0,0.282544770544449,0
"V1_2017",0.761271290963372,0.238728709036628,0,0,0,0.984431901576482,0.0155680984235177,0.0036870396483557,0.351093509257943,0.645219451093701,0,0.162842714228812,0.000682642813871609,0.0382510511802805,0.205190262670196,0.496723698720141,0.0963096303866986,0,0,0,0.206354597721023,0.418992967370186,0.243508809678415,0.129437018195697,0.00170660703467902,0,0.298806335642536,0.0067962663408424,0.00239053060429898,0.0122596501743749,0.34798543524563,0.180808707602182,0.00614762759208954,0.142757518356432,0.00204792844161483
"V2_2017",0.777607150251915,0.222392849748085,0,0,0,0.966871419697702,0.0331285803022983,0,0.398974509397934,0.601025490602066,0,0.146011917086525,0,0.0102261485724803,0.338751044853951,0.470761727287367,0.0281180742478969,0.00613108795177951,0,0,0.0680941863942761,0.213090390411116,0.461657694342835,0.257157728851773,0,0,0.362474214154799,0.00460119170865254,0,0.0557242659182061,0.383950276454935,0.0572599136509689,0,0.135990138112438,0
"V3_2017",0.700246254041463,0.299753745958537,0,0,0,0.961091248917724,0.0389087510822762,0.00525338092313397,0.359516144608099,0.635230474468767,0,0.161187118306236,0.000353281428223776,0.00659226897508102,0.249448484758185,0.525883498799494,0.0528855455361661,0,0.00364980219661364,0,0.238236859691207,0.405563139536231,0.212606854939953,0.133291808142028,0.000411775385411717,0.0098895623051696,0.321385473522379,0.0033994646147428,0,0.0175110766033552,0.346724724678325,0.170684373780801,0,0.140294886800397,0
"VI1_2017",0.783552481134233,0.192070660873542,0,0.024376857992225,0,0.735450491653327,0.264549508346673,0.0298799451177681,0.570544248799451,0.393481591584724,0.00609421449805625,0.0857633966003506,0.0146375485936428,0.0314982087049318,0.465868587544782,0.244304443936276,0.147356886957847,0.0024376857992225,0.00813324186294687,0.00609421449805625,0.0548631755469167,0.154451558807836,0.447187285616282,0.29674517874838,0.0162588611936885,0.0243997255888406,0.227635490509947,0,0,0.170737098864243,0.319102065706228,0.107717813857764,0,0.13821175394466,0.0365957771171583
